,seeding method,7th_graders_num_nodes:29,bt.csv_num_nodes:692,email_company_num_nodes:167,fb_friends.csv_num_nodes:800,high_tech_company_num_nodes:21,Karate_num_nodes:34,law_firm_num_nodes:71,moreno_taro_num_nodes:22,physician_trust_num_nodes:241,uni_email_num_nodes:1133
0,random,0.0,0.0011481824364863334,0.000358817454044697,0.0007550310632858714,0.0,0.0,0.001142969107177846,0.0,0.000124595066035385,0.00045636052481460345
1,random,0.0,0.0013236723432057714,0.0007806704067729219,0.0005588418893611961,0.0,0.0,0.002155313173535367,0.0,0.00074757039621231,0.00011409013120365086
2,random,0.0,0.0009570716072460909,0.0007273326771176291,0.00023780505930263667,0.0,0.0,0.0,0.0,0.000124595066035385,0.0003526422237203754
3,random,0.0,0.0010843598101870464,0.001343141010410555,0.0005350613834309325,0.0,0.0,0.0017960943112794723,0.0,0.00024919013207077,0.00025929575273557015
4,random,0.0,0.0014125777079527502,0.00036851522307293207,0.00034481733598882316,0.0,0.0,0.0,0.0,0.00024919013207077,0.00039412954415806665
5,random,0.0,0.001055438787919957,0.001619527427715254,0.0003388722095062572,0.0,0.0,0.0014695317092286591,0.0,0.00024919013207077,0.0005082196753617175
6,random,0.0,0.0013758462244252586,0.00016486207347999593,0.00020807942688980707,0.0,0.0,0.0,0.0,0.000622975330176925,0.00024892392262614737
7,random,0.0,0.0017553900104736056,0.0014595142387493756,0.0008085372016289646,0.0,0.0,0.0009143752857422768,0.0,0.0,0.0003318985635015298
8,random,0.0,0.0009935353035303688,0.0016049807741729016,0.00021402455337237299,0.0,0.0,0.0004571876428711384,0.0,0.000124595066035385,0.00022818026240730173
9,random,0.0,0.0007284259327487152,0.00020365314959293614,0.0004637198656401415,0.0,0.0,0.0008490627653321141,0.0,0.00024919013207077,0.00018669294196961052
10,friend,0.0,0.0021716652800494447,0.0023856511809458233,0.001938111233316489,0.0,0.0,0.0017307817908693097,0.0,0.000872165462247695,0.001286106933568428
11,friend,0.0,0.0017761435218226745,0.004713115747722237,0.002574239766951042,0.0,0.0,0.0,0.0,0.00024919013207077,0.0011823886324742
12,friend,0.0,0.0014655549509018787,0.003985783070604608,0.0015635682649148362,0.0,0.0,0.0006531252041016263,0.0,0.000872165462247695,0.0010786703313799717
13,friend,0.0,0.002271416028146582,0.0034087658134246217,0.0021878065455842575,0.0,0.0,0.0011103128469727647,0.0,0.00024919013207077,0.0008816055593009385
14,friend,0.0,0.002123597469892569,0.0024244422570587638,0.0022948188222704437,0.0,0.0,0.001142969107177846,0.0,0.00074757039621231,0.0017528392884924543
15,friend,0.0,0.0015334390170565748,0.0063762831360645485,0.0009928361225885081,0.0,0.0,0.00124093788779309,0.0,0.002118116122601545,0.0014209407249909244
16,friend,0.0,0.001954980769082285,0.003583325655932853,0.001569513391397402,0.0,0.0,0.0013389066684083338,0.0,0.000622975330176925,0.0015454026863039982
17,friend,0.0,0.0015774453873580413,0.004756755708349294,0.002276983442822746,0.0,0.0,0.0006531252041016263,0.0,0.00074757039621231,0.0015868900067416893
18,friend,0.0,0.0015201389173102899,0.0010716034776199735,0.002205641925031955,0.0,0.0,0.0,0.0,0.00124595066035385,0.001286106933568428
19,friend,0.0,0.002006128132536119,0.007476979920769227,0.002003507624624714,0.0,0.0,0.0003918751224609758,0.0,0.001121355594318465,0.002312918114401286
20,pair,0.0,0.0014202542755915456,0.005076782086281051,0.0013911595969204244,0.0,0.0,0.0008164065051270329,0.0,0.001370545726389235,0.0011512731421459315
21,pair,0.0,0.0011700070968082574,0.003127530511605805,0.0009809458696233763,0.0,0.0,0.0002612500816406505,0.0,0.00124595066035385,0.0013172224238966964
22,pair,0.0,0.001824032807150741,0.0016728651573705469,0.0007907018221812669,0.0,0.0,0.000620468943896545,0.0,0.00124595066035385,0.0010060675206140122
23,pair,0.0,0.001850945425093727,0.0006642971784341013,0.0007312505573556078,0.0,0.0,0.0002612500816406505,0.0,0.0024919013207077,0.0006326816366747912
24,pair,0.0,0.0013235384495841646,0.0018183316927940728,0.002491007996195119,0.0,0.0,0.0005878126836914636,0.0,0.000373785198106155,0.0009853238603951665
25,pair,0.0,0.001795781252991686,0.00025699087924822893,0.0011652447905829196,0.0,0.0,0.0002285938214355692,0.0,0.001619735858460005,0.002302546284291863
26,pair,0.0,0.0011918317571301814,0.0007709726377446868,0.0013019826996819358,0.0,0.0,0.000522500163281301,0.0,0.00124595066035385,0.0008401182388632473
27,pair,0.0,0.0016426515810805994,0.0019395538056470108,0.001854879462560566,0.0,0.0,0.0006531252041016263,0.0,0.000872165462247695,0.0011512731421459315
28,pair,0.0,0.0015647701245125884,0.0032439037399446258,0.0016943610475312863,0.0,0.0,0.0008164065051270329,0.0,0.000622975330176925,0.001275735103459005
29,pair,0.0,0.001950651541983662,0.002361406758375236,0.0011890252965131834,0.0,0.0,0.0007510939847168702,0.0,0.00174433092449539,0.001659492817507649
