,seeding method,7th_graders_num_nodes:29,aves-weaver-social_num_nodes:445,bt.csv_num_nodes:692,contacts-prox-high-school-2013_num_nodes:327,contacts-prox-high-school-2013-attr_num_nodes:327,email_company_num_nodes:167,fb_friends.csv_num_nodes:800,high_tech_company_num_nodes:21,infect-dublin_num_nodes:410,infect-hyper_num_nodes:113,Karate_num_nodes:34,kidnappings_num_nodes:351,law_firm_num_nodes:71,moreno_taro_num_nodes:22,physician_trust_num_nodes:241,primary-school-proximity_num_nodes:242,soc-firm-hi-tech_num_nodes:33,swingers_num_nodes:96,webkb-wisc_num_nodes:265
0,random,0.0,0.00029910680519551957,0.0012922551909244375,0.0006283162706039144,0.0003544301525844239,0.0013505700009492827,0.000557715112242853,0.0,0.0006253676908685058,0.00036168897081986724,0.0,0.0003472172449107986,0.0005912584709146314,0.0,0.00040934252926085117,0.0008235629962535463,0.0,0.0,0.0005792507476485628
1,random,0.0,0.0008182462027187778,0.0005323368405313558,0.0012001292794628724,0.0005742665763393197,0.0005307351760918906,0.0007232124963616302,0.0,0.0007215420169210516,0.00014000863386575506,0.0,0.00045950539062736425,0.0003183699458771092,0.0,0.0003260460843531198,0.0004597805684605688,0.0,0.0,0.0008226492702761346
2,random,0.0,0.0006539857605296674,0.001046352901649476,0.0013108756724829868,0.0006034285509190509,0.0007464811826333095,0.0005909969553301002,0.0,0.001275599963594499,0.0004900302185301427,0.0,0.0004658763492495807,0.00040933278755628325,0.0,0.0008139252616698319,0.00045093863445171167,0.0,0.0016899028305872412,0.0005339673015783168
3,random,0.0,0.00047941129057519423,0.0011588877967012058,0.0004497659634898524,0.00121433453121752,0.0007766856235491082,0.0006027205008402851,0.0,0.0006009722520649331,0.001528427586367826,0.0,0.00046906182856068897,0.00018192568335834812,0.0,0.00040934252926085117,0.0005292529071015887,0.0,0.00038726939867624277,0.0002339644713629374
4,random,0.0,0.0011884051991867962,0.0011041717054966229,0.0007526234464428184,0.00046883482208952276,0.0013246804801643123,0.0008774422506289519,0.0,0.0008252226318362353,0.00037335635697534683,0.0,0.0012415405615044382,0.00018192568335834812,0.0,0.000578315317502249,0.000569673176856364,0.0,0.00017603154485283762,0.0007094406551005198
5,random,0.0,0.0004690972628098315,0.0007194353378186738,0.000794812548545719,0.0006355814972505492,0.0015878906081448435,0.0007559081621733682,0.0,0.0016865692788239147,0.000933390892438367,0.0,0.0006044446992827893,0.00036385136671669623,0.0,0.0018230021942663487,0.0010837684827999122,0.0,0.0005280946345585128,0.0006886857423183238
6,random,0.0,0.0006696478026918849,0.0013719407314906078,0.00046634025360170624,0.000978047762827904,0.0003624532909895838,0.0004087609534551145,0.0,0.000763295748719474,0.0019367861018096115,0.0,0.00031536245179971615,0.0005002956292354574,0.0,0.0010352558152818038,0.0016471259925070925,0.0,0.0013026334319109984,0.0007679317729412542
7,random,0.0,0.0008950284094164781,0.0009447021255502328,0.0012649196862637557,0.0006228698673055382,0.0005609396170076893,0.0007314841090271496,0.0,0.00145434346713606,0.0018901165571876932,0.0,0.0011690709071767256,0.0005002956292354574,0.0,0.0002903476079640921,0.0011380832202828913,0.0,0.00035206308970567524,0.0006018924706836857
8,random,0.0,0.0007219819435753921,0.0010068548772155647,0.0006072217195524641,0.0005219245706833921,0.0008931884670814745,0.0009803489278850197,0.0,0.0008848037996834222,0.00023334772310959175,0.0,0.0005773681251383693,0.0021831082003001775,0.0,0.00043552141194613814,0.0008425099977010972,0.0,0.0003168567807351077,0.0008000075472410117
9,random,0.0,0.0005412954571673707,0.0007147566441513153,0.0002553947430872026,0.00032975463563234377,0.0002243758468030757,0.001031411481662714,0.0,0.0003790675875632053,0.0005717019216184998,0.0,0.0003575700526719004,0.0006367398917542184,0.0,0.00036888425601995305,0.000305678290020488,0.0,0.004224757076468103,0.0007037802243417391
10,friend,0.0,0.0014072917884294944,0.0012748209008376487,0.002169725251006323,0.0018738438024822075,0.0007119618215866825,0.0017504556062873896,0.0,0.001791188179846928,0.0013767515663465914,0.0,0.0006665615458494,0.001455405466866785,0.0,0.001458877735098266,0.0007957740607971382,0.0,0.000668919870440783,0.0025245521184162115
11,friend,0.0,0.0005989776124477327,0.0017917919263772584,0.0011119841911407405,0.000847192748688085,0.001160713515192834,0.00043780929399701716,0.0,0.0010902884572981302,0.0004083585154417856,0.0,0.0011682745373489485,0.0,0.0,0.0024679546676947828,0.0004900957707766503,0.0,0.000668919870440783,0.0004905706657609977
12,friend,0.0,0.0019688333000992438,0.0013814458670463993,0.0012506055266217001,0.0010341284831735407,0.0004962158150452635,0.00163328528199393,0.0,0.0010593250157397494,0.001155071229392479,0.0,0.0008791922898658754,0.0011825169418292628,0.0,0.0013279833216718311,0.0019149102796324788,0.0,0.0011266018870581607,0.0024000226417230353
13,friend,0.0,0.0010657828690874835,0.001587997880108524,0.0017621483896193713,0.0008681295509504561,0.0018554156562562028,0.0009090306926980614,0.0,0.0027083628502504757,0.0004783628323746631,0.0,0.0021056018246425495,0.0,0.0,0.0013160838295421552,0.0006353561152078738,0.0,0.00021123785382340515,0.002628326682327192
14,friend,0.0,0.0013419696125821971,0.0010535433150751007,0.00039702958586122647,0.001273406223314924,0.0015835756880140152,0.001059417729270378,0.0,0.0012938965426971785,0.000595036693929459,0.0,0.0013840907606765321,0.0010915541001500887,0.0,0.0016587892028768212,0.0010079804770097085,0.0,0.0018307280664695113,0.0011981245106085906
15,friend,0.0,0.0016559744578832406,0.0009038743671266512,0.001658935764831918,0.0015739988843675365,0.0015404264867057312,0.0009535801656367641,0.0,0.0020567231483627378,0.000595036693929459,0.0,0.0016237980788374276,0.0005002956292354574,0.0,0.001066194494818961,0.0007856689933584444,0.0,0.0010209829601464581,0.0018886970631798413
16,friend,0.0,0.0014622999365114292,0.0011861227187859352,0.0016536621270690553,0.001521656878711609,0.0005479948566152041,0.0017488924668860315,0.0,0.001328613128686878,0.0016567688340781014,0.0,0.0011268633063045413,0.0006367398917542184,0.0,0.0013470225090793126,0.00042188656556546697,0.0,0.0002464441627939727,0.0005226464400607553
17,friend,0.0,0.001971889308326018,0.00148092966923655,0.001204649540402469,0.001108902776967723,0.0010657852723146095,0.0013525063670250012,0.0,0.0008622849330955091,0.0007467127139506937,0.0,0.0015250482201930719,0.001455405466866785,0.0,0.001734945952506747,0.001755755467473051,0.0,0.00313336149838051,0.001190577269596883
18,friend,0.0,0.001424481834705099,0.001849709229038455,0.001178281351588156,0.0018813212318616256,0.0005868291377926595,0.0017860170276682839,0.0,0.0005273167926003004,0.001388418952502071,0.0,0.0017416608133484326,0.00040933278755628325,0.0,0.0014350787508389143,0.0013136587670301964,0.0,0.0008801577242641881,0.0022471910112359553
19,friend,0.0,0.0014156958110531233,0.001377013420414165,0.000758650461028947,0.0012135867882795781,0.002079791503059279,0.0016259255006458697,0.0,0.00196617853895717,0.0004550280600637039,0.0,0.0022879705152034965,0.0006822213125938054,0.0,0.0007687071915770634,0.0017456504000343573,0.0,0.0004224757076468103,0.000637741865489297
20,pair,0.0,0.0010703668814276447,0.001057434018230062,0.0020921274382099163,0.0008247604605498304,0.0008586691060348474,0.0015635301862083298,0.0,0.0011090541794547245,0.00025668249542055093,0.0,0.0012192422063266805,0.00040933278755628325,0.0,0.0008520036364847948,0.0015763905204362358,0.0,0.0025700605548514294,0.00119246407984981
21,pair,0.0,0.0011956632187253848,0.0016600005131788213,0.0011202713361966675,0.0006460498983817348,0.0005954589780543162,0.0013560885614864466,0.0,0.0005648482369134891,0.0007583801001061733,0.0,0.0014589495244875757,0.0004548142083958703,0.0,0.0007377685120399061,0.0008538781985696277,0.0,0.00038726939867624277,0.0005547222143605129
22,pair,0.0,0.0013797877143885272,0.001161104020017323,0.0009778831165993776,0.0008344811187430741,0.0012815312788560286,0.001070294574271494,0.0,0.0011653513459245074,0.00024501510926507134,0.0,0.001108546800265669,0.00018192568335834812,0.0,0.0016778283902843026,0.0010761896822208917,0.0,0.0006337135614702154,0.000705667034594666
23,pair,0.0,0.0011769451683363932,0.0017163910842222482,0.0009469946668454681,0.0015306297939669108,0.001104619553492065,0.00101890636645185,0.0,0.001126881615503489,0.0012134081601698772,0.0,0.0013386976804932397,0.00040933278755628325,0.0,0.0025274521283431624,0.0009877703421323207,0.0,0.0010561892691170257,0.00203020783214936
24,pair,0.0,0.0014007977709475994,0.0009340642536328702,0.0007669376060848739,0.0009533722458758238,0.0014541280840891636,0.0008849322935937923,0.0,0.002783425738876853,0.0006183714662404182,0.0,0.001357810556359889,0.0005002956292354574,0.0,0.00039268324027930487,0.0010686108816418713,0.0,0.0008449514152936206,0.0007528372909178389
25,pair,0.0,0.0006184596648934179,0.0010360597755812871,0.0010404133929304625,0.0007148422486723824,0.0010744151125762662,0.001012002500762519,0.0,0.0013774040062940233,0.0007000431693287753,0.0,0.0009325490683269385,0.0002728885250375222,0.0,0.0006021143017616008,0.0014475509105928896,0.0,0.0010913955780875932,0.0008000075472410117
26,pair,0.0,0.0008778383631408735,0.0009635153990337167,0.0014977131246529758,0.0018745915454201493,0.00033656377020461353,0.0009134595876685756,0.0,0.0018005710409252252,0.0017967774679438565,0.0,0.0017790901952539544,0.00022740710419793514,0.0,0.0013279833216718311,0.0005797782442950579,0.0,0.0006337135614702154,0.0007264219473768621
27,pair,0.0,0.0011192630130560312,0.0018540431768566399,0.0007526234464428184,0.0009369219012411037,0.0011693433554544907,0.0011082007047544253,0.0,0.0008918409454921452,0.0007000431693287753,0.0,0.0015863686969319055,0.0007277027334333925,0.0,0.0010804738853745722,0.0006328298483482004,0.0,0.0009153640332347557,0.0006773648808007623
28,pair,0.0,0.0010936689441567976,0.0017760321161293137,0.0009952107835344975,0.0010647859436291555,0.0017345978925930082,0.001617132841513231,0.0,0.001348786280005217,0.0006767083970178161,0.0,0.0010918230338823507,0.0002728885250375222,0.0,0.0014303189539870437,0.0007376699230246488,0.0,0.0022532037741163215,0.001281144161737375
29,pair,0.0,0.000999314690155146,0.001281223323750876,0.0008686434772257953,0.0006729686441476403,0.0008284646651190487,0.0005401297939775756,0.0,0.0012207102262864606,0.0010033952093712445,0.0,0.0009874985864435557,0.00018192568335834812,0.0,0.0004022028339830456,0.00044462296730252805,0.0,0.0005280946345585128,0.0011434070132737102
