,network,empirical_clust,random_clust_BA,empirical_clustSD,random_clustSD_BA,empirical_avgDegree,random_avgDegree_BA,empirical_sdDegree,random_sdDegree_BA
0,7th_graders,0.7766783097534905,0.4677957494387515,0.0970884161540112,0.14283702401123577,17.24137931034483,10.620689655172415,5.354052106542477,4.1887681762924736
1,aves-weaver-social,0.6685047954844804,0.3158086407652361,0.33489869860168253,0.03251582004682335,6.0,99.39775280898877,4.15216201974372,44.12623866556447
2,bt.csv,0.5251012948583238,0.42858424311265814,0.10542642231263327,0.042419352568146766,229.85549132947978,226.89884393063585,110.24106237698886,86.95719263674891
3,contacts-prox-high-school-2013,0.5035048191728448,0.3493885003806389,0.13951618109442768,0.036660142583813116,35.584097859327215,83.31498470948013,13.497472558614293,35.153249316926484
4,contacts-prox-high-school-2013-attr,0.5035048191728448,0.35265705851639795,0.13951618109442768,0.03624019818586915,35.584097859327215,83.31498470948013,13.497472558614293,35.60231225417533
5,email_company,0.591863208548695,0.40347010270947803,0.29617625885425947,0.050853710181052,38.93413173652694,49.221556886227546,31.514303895130244,20.652935067864387
6,fb-messages,0.10939892385364362,0.31467637467078174,0.18866418045859726,0.023592577682843917,16.573986308583464,420.82991047919955,24.459296070344905,186.60537819893383
7,fb-pages-politician,0.38509612579327435,0.3118465551586545,0.30007827455992286,0.02086183779064185,14.126269465132024,1296.12288422478,20.096019518905567,575.2984484636479
8,fb-pages-tvshow,0.37373843245973964,0.3117545320756536,0.35385459606037006,0.021292942986068396,8.870503597122303,853.6238437821172,12.556928268359629,378.9703260731803
9,fb_friends.csv,0.3153509697401213,0.31922025126574144,0.19353293361320825,0.02843768781959691,16.0725,179.4775,13.382348215092895,79.95523431114438
10,high_tech_company,0.8032036811780289,0.5180900565354347,0.05262747874274993,0.13091886182536702,15.142857142857142,8.571428571428571,2.7994168488950604,3.4026800161809234
11,inf-euroroad,0.016731564857629593,0.3120402320144095,0.08356748176940842,0.024482427348671423,2.41396933560477,257.18739352640546,1.188678457809932,114.78910657936173
12,infect-dublin,0.45582424184357156,0.32735623139414516,0.24491948571628872,0.037603962066214656,13.487804878048781,93.77560975609757,8.39721774834659,42.33678433177261
13,infect-hyper,0.5347555956050045,0.42970828812214845,0.08925425893424387,0.06284575059803123,38.86725663716814,36.63716814159292,18.3503294681323,14.326818682928122
14,Karate,0.5409685086155674,0.3276403633396895,0.3472597616979721,0.14331885819493054,4.529411764705882,8.529411764705882,3.751355003177064,4.209480155956434
15,kidnappings,0.0,0.3118386430740734,0.0,0.03497282856507467,2.2905982905982905,76.96866096866097,3.8800971344932194,34.366661082122754
16,KKI,0.3872007143917601,0.31132976914184174,0.3641889760253887,0.02251400009439873,3.59159964253798,489.9374441465594,2.578414736393397,217.86878305965448
17,kor.2015.mers.1.00,0.0,,0.0,,1.989247311827957,,6.707393807696475,
18,law_firm,0.5715333938756393,0.4462745863099796,0.08220275566477495,0.07328366819518195,28.3943661971831,23.661971830985916,9.205752753209461,9.50751172549759
19,moreno_taro,0.33939393939393936,0.28603568149022696,0.20661689616643378,0.21449036610566113,3.5454545454545454,5.181818181818182,0.9403709484353275,2.3478493763899926
20,physician_trust,0.3115751356464073,0.3242193769181293,0.22315983169197295,0.042712100455276236,7.659751037344399,54.024896265560166,3.948895315385876,25.06157153348186
21,primary-school-proximity,0.5255415410620273,0.4174873600026079,0.09969019484182944,0.04435238852271735,68.73553719008264,75.74380165289256,26.570899571716986,30.29374889166198
22,sgp.2003.sars.1.00,0.0,,0.0,,1.9883720930232558,,4.298442622372183,
23,soc-firm-hi-tech,0.6705116697267809,0.3487593126349107,0.23240113925983186,0.11688323712397362,7.454545454545454,9.818181818181818,5.846993058290002,3.864794835234763
24,soc-hamsterster,0.5375333362074076,0.31365528280401106,0.3686698442008419,0.022681574089905402,13.709810387469085,534.8062654575433,19.872820142740498,237.88188973617525
25,swingers,0.0,0.35395054917110863,0.0,0.07261952095432504,4.833333333333333,22.479166666666668,5.189465825646755,10.727669798495644
26,uni_email,0.22017608650411602,0.31398105720229413,0.24019238960513825,0.025126238074747495,9.624007060900265,249.90291262135923,9.338199268869895,111.3784897507596
27,usa.2009.flu.1.00,0.0,,0.0,,1.993006993006993,,1.044442525351341,
28,usa.2020.covid.6.00,0.0,,0.0,,1.9782608695652173,,5.731261073896779,
29,webkb-wisc,0.2080282179610873,0.3125708128035545,0.33764537130089967,0.04305449218569388,3.6150943396226416,57.781132075471696,7.748582249540395,26.152622124777928
