# index, _pos
0,"array([4.09464944, 1.90542691])"
1,"array([3.84767047, 1.93412638])"
2,"array([4.26173845, 2.17345955])"
3,"array([4.07516058, 2.21695112])"
4,"array([3.73762342, 2.16425508])"
5,"array([3.8920626 , 2.39964433])"
6,"array([3.98533812, 2.55739962])"
7,"array([4.11503081, 2.78619306])"
8,"array([4.57375892, 2.08849482])"
9,"array([4.6926566 , 2.21671213])"
10,"array([4.29696348, 3.14938557])"
11,"array([4.41634976, 2.57091634])"
12,"array([4.38556689, 2.81200349])"
13,"array([4.59612479, 3.29473314])"
14,"array([4.56180501, 3.00294458])"
15,"array([4.90739096, 3.1795553 ])"
16,"array([4.66684376, 2.51418543])"
17,"array([4.78645015, 2.87101893])"
18,"array([4.40966745, 2.32965236])"
19,"array([5.06790695, 2.93843543])"
20,"array([4.88202177, 2.67355902])"
21,"array([4.21660223, 2.49723159])"
